131162859	2024-05-05 17:12:09.514106
137464911	2024-05-05 17:18:30.262682
137464700	2024-05-05 17:25:25.583415
137409139	2024-05-06 09:17:54.097976
137382785	2024-05-06 12:22:26.286649
137505438	2024-05-06 14:21:55.245347
137511021	2024-05-06 14:44:00.821312
137511451	2024-05-06 14:55:41.422140
137510678	2024-05-06 14:58:33.494929
137514662	2024-05-06 15:08:15.742498
137523798	2024-05-06 15:40:23.840001
137531849	2024-05-06 16:17:55.326265
137569406	2024-05-06 22:50:16.395371
137571618	2024-05-06 23:10:32.174085
137591410	2024-05-07 14:14:38.684148
137596309	2024-05-07 16:06:21.727324
137599474	2024-05-07 16:16:41.748859
137604900	2024-05-07 16:17:47.354338
137617997	2024-05-07 16:20:46.071120
137618997	2024-05-07 16:23:10.643447
137625246	2024-05-07 17:01:36.385985
137624825	2024-05-07 17:15:39.181778
137628508	2024-05-07 18:12:19.196367
137651315	2024-05-08 08:28:51.324299
137657674	2024-05-08 08:38:44.131220
137700769	2024-05-08 15:36:25.375405
137701256	2024-05-08 15:39:01.143301
137701921	2024-05-08 15:41:49.630729
