131162859	2024-05-05 17:12:09.514106
137464911	2024-05-05 17:18:30.262682
137464700	2024-05-05 17:25:25.583415
137409139	2024-05-06 09:17:54.097976
137382785	2024-05-06 12:22:26.286649
137505438	2024-05-06 14:21:55.245347
137511021	2024-05-06 14:44:00.821312
137511451	2024-05-06 14:55:41.422140
137510678	2024-05-06 14:58:33.494929
137514662	2024-05-06 15:08:15.742498
137523798	2024-05-06 15:40:23.840001
137531849	2024-05-06 16:17:55.326265
137569406	2024-05-06 22:50:16.395371
137571618	2024-05-06 23:10:32.174085
137591410	2024-05-07 14:14:38.684148
137596309	2024-05-07 16:06:21.727324
137599474	2024-05-07 16:16:41.748859
137604900	2024-05-07 16:17:47.354338
137617997	2024-05-07 16:20:46.071120
137618997	2024-05-07 16:23:10.643447
137625246	2024-05-07 17:01:36.385985
137624825	2024-05-07 17:15:39.181778
137628508	2024-05-07 18:12:19.196367
137651315	2024-05-08 08:28:51.324299
137657674	2024-05-08 08:38:44.131220
137700769	2024-05-08 15:36:25.375405
137701256	2024-05-08 15:39:01.143301
137701921	2024-05-08 15:41:49.630729
137739611	2024-05-08 23:39:15.426072
137730099	2024-05-08 23:55:38.135685
137741052	2024-05-08 23:57:45.077281
137742954	2024-05-08 23:59:48.302973
137746216	2024-05-09 00:01:39.144599
137750354	2024-05-09 00:03:17.434342
137735719	2024-05-09 10:30:54.356423
137739786	2024-05-09 10:31:36.849749
136601697	2024-05-09 10:34:38.315793
137557459	2024-05-09 10:36:41.656304
137783720	2024-05-09 15:15:21.858636
137784206	2024-05-09 15:19:00.230484
137784476	2024-05-09 15:38:26.415909
137901826	2024-05-10 15:56:32.612957
137927582	2024-05-10 19:36:41.278582
