137464911	2024-05-05 17:23:44.691133
137464700	2024-05-05 18:06:55.666555
137409139	2024-05-06 09:19:25.242244
137409139	2024-05-06 09:20:05.305404
137382785	2024-05-06 13:15:47.384365
137511021	2024-05-06 14:46:54.645769
137511451	2024-05-06 14:55:49.337939
137510678	2024-05-06 15:07:11.306238
137514662	2024-05-06 15:15:21.849136
137531849	2024-05-06 16:29:16.421016
137569406	2024-05-06 22:52:14.749460
137571618	2024-05-06 23:15:44.674580
137591410	2024-05-07 14:20:16.154121
137596309	2024-05-07 16:15:11.262142
137604900	2024-05-07 16:19:28.207605
137625246	2024-05-07 17:14:36.918992
137628508	2024-05-07 18:14:29.599783
137651315	2024-05-08 08:36:07.380141
137657674	2024-05-08 08:39:57.841572
137700769	2024-05-08 15:38:11.464783
137701256	2024-05-08 15:39:57.995926
137701921	2024-05-08 15:42:09.092055
137730099	2024-05-08 23:57:09.064011
137741052	2024-05-08 23:59:04.510273
137742954	2024-05-09 00:01:02.889491
137746216	2024-05-09 00:02:35.338183
137750354	2024-05-09 00:05:47.484521
137735719	2024-05-08 23:52:23.314367
137739786	2024-05-08 23:55:00.880425
137784476	2024-05-09 15:40:58.930558
137901826	2024-05-10 16:11:40.911182
